,budget,gross,runtime,score,votes,Year_Released
497,9000000,20458340,90,7.2,62000,1984
498,18000000,31042035,103,5.9,77000,1984
499,800000,14568989,92,5.6,49000,1984
500,15000000,28733290,101,6.8,39000,1984
501,8000000,69821334,111,6.3,71000,1984
502,1500000,4228292,99,7.6,91000,1985
503,28000000,47951979,138,7.5,46000,1984
504,5000000,38435947,105,6.3,36000,1984
505,1000000,8736506,117,8.1,157000,1987
506,2600000,32980880,91,6,47000,1984
507,35589876,7121719,88,4.9,3200,1984
508,13000000,21689062,128,5.9,11000,1984
509,35000000,14296438,124,4.4,19000,1984
510,25000000,8613462,132,7,25000,1984
511,15000000,17080167,114,6.1,30000,1984
512,1250000,4654423,88,5.6,11000,1984
513,9000000,25348610,87,6,15000,1984
514,35589876,6770587,99,5.9,12000,1984
515,35589876,6254148,103,6.4,25000,1984
516,17000000,76471046,105,6.7,76000,1984
517,1500000,129000,92,6.9,35000,1984
518,28000000,40400657,116,6.8,50000,1984
519,14400000,34700291,141,7.8,53000,1985
520,58000000,25928721,127,6.5,17000,1984
521,22000000,28744356,115,7,44000,1984
522,700000,14418922,95,6.4,19000,1984
523,35589876,18644570,100,5.8,10000,1984
524,35589876,12145169,99,6.3,14000,1984
525,35589876,2912945,107,6.4,6600,1984
526,21000000,8103330,102,6.1,15000,1984
527,35589876,34901614,111,7.4,11000,1984
528,7000000,8914881,105,3,5100,1984
529,20000000,28078073,108,5.1,15000,1984
530,90000,2436000,89,7.5,36000,1984
531,9000000,14255801,91,5.7,10000,1984
532,16000000,27201487,164,7.3,18000,1985
533,7200000,70263155,111,6.5,20000,1984
534,7500000,5142858,109,6,8000,1984
535,35589876,876775,98,7.1,7700,1985
536,25000000,5778353,117,4.9,4600,1984
537,2550000,22812411,101,5.5,14000,1984
538,30000000,45858563,143,6.4,18000,1984
539,35589876,25534703,94,6.9,20000,1984
540,35589876,11020375,96,6.1,2500,1984
541,12000000,11129057,106,6.5,13000,1984
542,35589876,1337274,87,5.3,2700,1985
543,35589876,38682707,90,5.8,6000,1984
544,12000000,1455045,120,7.3,22000,1984
545,2000000,4389334,95,6.7,15000,1985
546,5500000,78500541,81,4.2,8400,1985
547,35589876,2193612,95,6.5,7100,1984
548,35589876,78500541,101,6.6,7000,1984
549,6500000,6045647,108,6.7,4200,1984
550,1065000,2491460,79,5.9,14000,1984
551,8000000,6836201,121,6.7,8000,1984
552,35589876,36403064,93,6.7,17000,1984
553,35589876,4743119,97,5.4,1800,1984
554,35589876,10530000,94,4.1,983,1984
555,35589876,8289916,90,6.3,1900,1984
556,35589876,48143579,114,6.3,16000,1984
557,28000000,21435321,111,3.9,7000,1984
558,35589876,23859382,100,6.2,5000,1984
559,35589876,11708269,96,5.6,3300,1984
560,15000000,6650206,100,5.9,4400,1984
561,9500000,16595791,105,6.5,3600,1984
562,35589876,4463841,93,3.7,705,1984
563,35589876,15101131,94,5.1,3900,1984
564,13000000,6551987,128,6.6,5100,1984
565,35589876,11302884,113,5.8,4100,1984
566,13000000,25068724,115,6.5,11000,1984
567,35589876,7610785,92,5.4,4200,1984
568,35589876,2886225,81,4.3,1700,1984
569,4600000,13102025,90,6,3600,1984
570,8000000,6250994,103,6.2,2300,1984
571,35589876,78500541,90,5.7,2100,1986
572,9000000,27774237,107,6.1,4000,1984
573,35589876,78500541,153,8.3,4100,1987
574,18000000,11489982,124,6.3,6500,1985
575,35589876,150463,95,6,6100,1984
576,6000000,21821347,101,7.2,9300,1984
577,35589876,1057368,106,6.7,1900,1984
578,35589876,5410972,87,3.7,2300,1984
579,35589876,17513452,100,5.9,2200,1984
